,ISBN,Title,Author,Publishing Date,Category,Description
969,007001356X,,,,,
970,0060816198,,,,,
971,0061161535,,,,,
972,0060951303,,,,,
973,0060951273,El Plan Infinito,Isabel Allende,1995-03-17,Fiction,"El Plan Infinito, de la celebrada escritora latinoamericana Isabel Allende, es su primera novela situada en los Estados Unidos y con personajes nortemamericanos. Es la hipnozitizante y conmovedora saga de un hombre que, durante los largos años de su juventud y madurez, busca amor y aceptación. Allende traza la pobreza y abandono de la niñez de su protagonista, la persecuzion de las pandillas de un barrio de Los Angeles,el horror de sus experiencias en Vietnam, su vida frenética como abagodo en San Francisco---una serie de frustraciones que por fin se resuelven en acogida y redención."
974,0060591714,,,,,
975,0060535032,,,,,
976,0571219764,Self,Yann Martel,2003,Biographical fiction,"This story of love, sex and ambiguity is the first novel by the Canadian author of the award-winning Life of Pi"
977,3518399608,,,,,
978,0750002441,,,,,
979,0399239987,,,,,
980,0679643354,,,,,
981,0345448197,Boogaloo on 2nd Avenue,Mark Kurlansky,2006-02-28,Fiction,"It’s the boom years of the 1980s, and life is closing in on Nathan Seltzer, who rarely travels beyond his suddenly gentrifying Lower East Side neighborhood in New York City. Between paralyzing bouts of claustrophobia, Nathan wonders whether he should cheat on his wife with Karoline, a German pastry maker whose parents may or may not have been Nazis. His father, Harry, is plotting with the 1960s boogaloo star Chow Mein Vega for the comeback of this dance craze. Meanwhile, a homicidal drug addict is terrorizing the neighborhood. With its cast of unforgettable characters, Boogaloo on 2nd Avenue is a comedy of cultures, of the old and the new. It’s about struggling to hold on to life in a rapidly changing world, about food and sex, and about how our lives are shaped by love and guilt."
982,0140275010,,,,,
983,0345455827,,,,,
984,0345448146,,,,,
985,0140298517,The Basque History of the World,Mark Kurlansky,2001-02-01,History,"From Mark Kurlansky, the bestselling author of Cod, Salt, Birdseye, and Paper—the illuminating story of an ancient and enigmatic people Straddling a small corner of Spain and France in a land that is marked on no maps except their own, the Basques are a puzzling contradiction—they are Europe's oldest nation without ever having been a country. No one has ever been able to determine their origins, and even the Basques' language, Euskera—the most ancient in Europe—is related to none other on earth. For centuries, their influence has been felt in nearly every realm, from religion to sports to commerce. Even today, the Basques are enjoying what may be the most important cultural renaissance in their long existence, as displayed by new cookbooks like chefs Alexandra Raij and Eder Montero's The Basque Book and restaurateur Jose Pizarro’s Basque. Mark Kurlansky's passion for the Basque people and his exuberant eye for detail shine throughout this fascinating book. Like Cod, The Basque History of the World, blends human stories with economic, political, literary, and culinary history into a rich and heroic tale. Among the Basques' greatest accomplishments: • Exploration—the first man to circumnavigate the globe, Juan Sebastian de Elcano, was a Basque and the Basques were the second Europeans, after the Vikings, in North America • Gastronomy and agriculture—they were the first Europeans to eat corn and chili peppers and cultivate tobacco, and were among the first to use chocolate • Religion—Ignatius Loyola, a Basque, founded the Jesuit religious order • Business and politics—they introduced capitalism and modern commercial banking to southern Europe • Recreation—they invented beach resorts, jai alai, and racing regattas, and were the first Europeans to play sports with balls “A delectable portrait of an uncanny, indomitable nation.” –Newsday “Exciting, Illuminating, and thought provoking.” –The Boston Globe Entertaining and instructive… [Kurlansky’s] approach is unorthodox, mixing history with anecdotes, poems with recipes.” –The New York Times Book Review"
986,0399234764,The Cod's Tale,Mark Kurlansky,2001,Atlantic cod,Describes the Atlantic cod fish and how it has been fished throughout history to near extinction.
987,189044717X,,,,,
988,0613359607,Harry Potter y la piedra filosofal,J. K. Rowling,2001,Juvenile Fiction,"Rescatado del descuido de su tia y tio, un huerfano con un gran destino matricula en la escuela Hogwarts para Magos y Brujas."
989,0141185473,Angle of Repose,Wallace Earle Stegner,1971,Fiction,Traces the lives and fortunes of four generations of one family as they attempt to build a life for themselves in the American West.
990,0321344758,,,,,
991,0060987324,,,,,
992,067976397X,,,,,
993,0156030489,Kiffe Kiffe Tomorrow,Faïza Guène,2006,Fiction,"Struggling with an overworked mother, an absent father, and the challenges of life within the infamous Paradise projects of suburban Paris, fifteen-year-old French Muslim Doria endures a parade of social workers, experiences a first kiss, and assumes a philosophical outlook regarding her circumstances. A first novel. Original. 75,000 first printing."
994,0060984384,,,,,
995,0060184124,,,,,
996,0815412185,,,,,
997,0060837551,,,,,
998,0060510854,,,,,
999,0380710846,,,,,
1000,0743286421,,,,,
1001,0517201666,Three Complete Novels,Colleen McCullough,1998,Australia,"For the first time ever, three of the author's most beloved novels are compiled here in one extraordinary volume: Tim; An Indecent Obsession; and The Ladies of Missalonghi."
1002,0671024183,Morgan's Run,Colleen McCullough,2002-01-01,Fiction,"Colleen McCullough captivated millions with her beloved worldwide bestseller The Thorn Birds. Now she takes readers to the birth of modern Australia with a breath-taking saga brimming with drama, history, and passion. It was one of the greatest human experiments ever undertaken: to populate an unknown continent with the criminals of English society. For Richard Morgan, twelve months as a prisoner on the high seas would be just the beginning in a soul-trying test to survive in a hostile new land where, against all odds, he would find a new love and a new life. From the dank cells of England's prisons to the unforgiving frontier of the eighteenth-century outback, Morgan's Run is the epic tale of one man whose strength and character helped settle a country and define its future."
1003,0671024205,,,,,
1004,068809368X,The first man in Rome,Colleen McCullough,1990-09-01,Fiction,"A story tracing the creation of Republican Rome presents those who founded an empire, including Marius and Sulla, each determined to become the First Man of Rome"
1005,038071082X,,,,,
1006,0380711966,,,,,
1007,0764586688,CliffsNotes on O'Brien's The Things They Carried,Jill Colella,2000-12-28,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. The latest generation of titles in this series also feature glossaries and visual elements that complement the classic, familiar format. In CliffsNotes on The Things They Carried, you discover Tim O'Brien's powerful and innovative novel about the experiences of foot soldiers during and after the Vietnam War. Drawing largely on his own experiences during the war, the author creates a fictional protagonist who shares the author's own name, and allows this fictional ""Tim O'Brien"" to relate disturbing war stories as he creates an indictment against the wastefulness of war. Chapter summaries and commentaries take you through Tim O'Brien's very personal journey. Critical essays give you insight into the novel's historical context, the novel's narrative structure, and the theme of loss of innocence. Other features that help you study include Character analyses of the main characters A character map that graphically illustrates the relationships among the characters A section on the life and background of Tim O'Brien A review section that tests your knowledge A Resource Center full of books, articles, films, and Internet sites Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides."
1008,1401308589,,,,,
1009,0099450259,,,,,
1010,0099456761,,,,,
1011,0385662238,,,,,
1012,0767904419,,,,,
1013,0767904435,If I Die in a Combat Zone,Tim O'Brien,1973,Biography & Autobiography,A candid view of the American military establishment and the Vietnam conflict as witnessed by a foot soldier in the late sixties.
1014,0767904427,,,,,
1015,061870986X,,,,,
1016,0140259104,,,,,
1017,0446696129,,,,,
1018,0446696137,A Bend in the Road,Nicholas Sparks,2005-04-01,Fiction,"Miles Ryan's life seemed to end the day his wife was killed in a hit-and-run accident two years ago. As deputy sheriff of New Bern, North Carolina, he not only grieves for her and worries about their young son Jonah but longs to bring the unknown driver to justice. Then Miles meets Sarah Andrews, Jonah's second-grade teacher. A young woman recovering from a difficult divorce, Sarah moved to New Bern hoping to start over. Tentatively, Miles and Sarah reach out to each other...soon they are falling in love. But what neither realizes is that they are also bound together by a shocking secret, one that will force them to reexamine everything they believe in-including their love."
1019,044669651X,True Believer,Nicholas Sparks,2006-04-11,Fiction,"As a science journalist with a regular column in Scientific American, Jeremy Marsh specializes in debunking the supernatural. A born skeptic, he travels to the small town of Boone Creek, North Carolina, determined to find the real cause behind the ghostly apparitions that appear in the towns cemetery. What he doesnt plan on, however, is falling hopelessly in love with Lexie Darnell, granddaughter of the town psychic. Now, if the young lovers are to have any kind of future at all, Jeremy must make a difficult choice: return to the life he knows, or do something hes never done beforetake a giant leap of faith."
1020,0446694851,,,,,
1021,0446615862,,,,,
1022,8496284530,,,,,
1023,0446691798,,,,,
1024,0446606812,,,,,
1025,0446693804,,,,,
1026,0142000205,,,,,
1027,0446676071,,,,,
1028,0061136956,,,,,
1029,067003777X,Special Topics in Calamity Physics,Marisha Pessl,2006,Fiction,"Having moved from one academic outpost to another throughout her childhood at the side of her aphorism-prone father, Blue van Meer attends the elite St. Gallway School in her senior year, where she falls in with a charismatic group of friends before the deaths of a teacher and student awaken her analytical instincts. A first novel. 50,000 first printing."
1030,0767920740,,,,,
1031,030726422X,,,,,
1032,0312349486,,,,,
1033,0671524097,,,,,
1034,074321076X,,,,,
1035,0440420628,,,,,
1036,0440420636,The Green Toenails Gang,Marjorie Weinman Sharmat,2005-07-12,Juvenile Fiction,"“I, Nate the Great, have something to say. My cousin Olivia Sharp is almost (but not quite) the world’s best detective. I solve mysteries. She’s an agent for secrets. You won’t forget Olivia. She won’t let you.” Olivia sharp is back! Rather than solve mysteries like her cousin Nate, Olivia helps friends with their problems by detecting what’s wrong beneath the surface. You'll be won over by Olivia’s spunk, eccentricities, and can-do spirit."
1037,0440420598,,,,,
1038,0307264122,,,,,
1039,1421505479,,,,,
1040,0898705975,,,,,
1041,1421505487,,,,,
1042,087123596X,,,,,
1043,0974607894,First Love,Ivan Turgenev,2004-09-01,Fiction,"""The great thing is to lead a normal life, and not be the slave of your passions. What do you get if not?"" One of Russian literature's most renowned love stories—a vivid and sensitive account of adolescent love, wherein the sixteen year old protagonist falls in love with a beautiful but older woman living next door, thereby plunging into a whirlwind of changing emotions that are heightened by her capriciousness, and leading to a truly heart-rending revelation. The Art of The Novella Series Too short to be a novel, too long to be a short story, the novella is generally unrecognized by academics and publishers. Nonetheless, it is a form beloved and practiced by literature's greatest writers. In the Art Of The Novella series, Melville House celebrates this renegade art form and its practitioners with titles that are, in many instances, presented in book form for the first time."
1044,0767916913,,,,,
1045,0373706405,,,,,
1046,1903582415,The Modern Prince,Justin O'Brien,2002,Ireland,One man's quest for power in Ireland's modern political structure
1047,0717801330,,,,,
1048,055323370X,Emily of New Moon,L. M. Montgomery,1983-04-01,Juvenile Fiction,"From the author of Anne of Green Gables, the first book of the beloved Emily trilogy—recently seen on Netflix’s hit show Russian Doll! Emily Starr never knew what it was to be lonely—until her beloved father died. Now Emily's an orphan, and her snobbish relatives are taking her to live with them at New Moon Farm. Although she's sure she'll never be happy there, Emily deals with her stern aunt Elizabeth and her malicious classmates by using her quick wit and holding her head high. In this first volume of the celebrated Emily trilogy, Lucy Maud Montgomery draws a more realistic portrait of a young orphan girl's life on early twentieth-century Prince Edward Island. Along with Emily Climbs and Emily’s Quest, Emily of New Moon insightfully portrays the beauty and anguish of growing up."
1049,0195421167,The Selected Journals of L.M. Montgomery,Lucy Maud Montgomery,1985,"Authors, Canadian",
1050,0553565923,,,,,
1051,0786180307,,,,,
1052,0770422454,,,,,
1053,0553609416,,,,,
1054,0770422470,,,,,
1055,0553212419,,,,,
1056,0393059162,,,,,
1057,039305800X,The New Annotated Sherlock Holmes,Arthur Conan Doyle,2005,Fiction,"A third slipcased compendium of four classic Sherlock Holmes novels features more than 1,000 accompanying notes, 350 illustrations and period photographs, and a wealth of new theories, in a volume that includes the works, A Study in Scarlet, The Sign of Four, The Hound of the Baskervilles, and The Valley of Fear. 50,000 first printing."
1058,0471648795,,,,,
1059,1598870297,,,,,
1060,0871139472,,,,,
1061,0743564677,,,,,
1062,0448409577,,,,,
1063,0517174960,,,,,
1064,074353395X,,,,,
1065,0470038322,,,,,
1066,0764525905,,,,,
1067,0449005577,,,,,
1068,159052201X,,,,,
1069,0385732554,,,,,
1070,0064401685,,,,,
1071,0449904962,,,,,
1072,0156011654,,,,,
1073,0330488155,The Hunters,Claire Messud,2003,American fiction,"Two exquisite short novels, acclaimed for their subtlety, their insight and their dazzling prose.Claire Messud's two exquisite short novels, acclaimed for their subtlety, their insight and their dazzling prose, are destined to become masterpieces of twenty-first-century literature. 'Claire Messud's two brilliant novellas are exquisitely positioned: poised, subtle and perfect, they communicate with each other across expanses of silence like works of art. It is almost startling to encounter writing of this quality . . . This is masterly prose - modest, authentic, compassionate, interested and majestically complete . . . These two small masterpieces reflect and complement one another so as to form something larger, a work of tremendous scope and significance. I can think of few writers capable of such thrilling seriousness expressed with so lavish a gift' Evening Standard 'Messud proves to be as much an accomplished storyteller as an immaculate stylist . . . She is a mistress of parenthesis, the telling aside, the unspoken . . . With the short novel, Claire Messud, like Alice Munro, has found her ideal form' Daily Telegraph Two short novels of remarkable power and artistry that outweigh works twice or thrice their size . . . They achieve their aim quite beautifully' Financial Times 'Messud is an expert storyteller. Her style is precise and illuminating, transforming the mundane into the unusual . . . dazzling' Observer"
1074,0964561107,,,,,
1075,1400097029,,,,,
1076,0307263118,The Sea,John Banville,2005,Fiction,"Following the death of his wife, Max Morden retreats to the seaside town of his childhood summers, where his own life becomes inextricably entwined with the members of the vacationing Grace family."
1077,0375725237,,,,,
1078,0679736859,,,,,
1079,0679737995,,,,,
1080,037572530X,,,,,
1081,0330371851,,,,,
1082,0143037749,,,,,
1083,0689875347,A Great and Terrible Beauty,Libba Bray,2005,Boarding schools,"Following the death of her mother, 16 year-old Gemma Doyle is shipped off from her life in colonial India to a boarding school in England. Lonely and unhappy, she is prone to visions of the future that have an uncomfortable habit of coming true - and who is the mysterious young Indian man who keeps following her?"
1084,0452287650,,,,,
1085,0439228905,,,,,
1086,0060572159,,,,,
1087,0142004200,,,,,
1088,0143039105,,,,,
1089,0142437301,,,,,
1090,0099478420,,,,,
1091,0142437913,,,,,
1092,0143039725,,,,,
1093,0143039024,The Quiet American,Graham Greene,2004-08-31,Fiction,"Graham Greene's classic exploration of love, innocence, and morality in Vietnam ""I never knew a man who had better motives for all the trouble he caused,"" Graham Greene's narrator Fowler remarks of Alden Pyle, the eponymous ""Quiet American"" of what is perhaps the most controversial novel of his career. Pyle is the brash young idealist sent out by Washington on a mysterious mission to Saigon, where the French Army struggles against the Vietminh guerrillas. As young Pyle's well-intentioned policies blunder into bloodshed, Fowler, a seasoned and cynical British reporter, finds it impossible to stand safely aside as an observer. But Fowler's motives for intervening are suspect, both to the police and himself, for Pyle has stolen Fowler's beautiful Vietnamese mistress. Originally published in 1956 and twice adapted to film, The Quiet American remains a terrifiying and prescient portrait of innocence at large. This Graham Greene Centennial Edition includes a new introductory essay by Robert Stone. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
1094,0140186123,,,,,
1095,014018533X,The Third Man and The Fallen Idol,Graham Greene,1992-07-01,Fiction,"The Third Man is Greene's brilliant recreation of post-war Vienna, a city of desolate poverty occupied by four powers. Rollo Martins, a second-rate novelist, arrives penniless in Vienna to visit his old friend and hero Harry Lime. Harry is dead, but the circumstances surrounding his death are highly suspicious, and his reputation, at the very least, dubious. Graham Greene said of The Third Man that he ""wanted to entertain [people], to frighten them a little, to make them laugh"" and the result is both a compelling narrative and a haunting thriller. The Fallen Idol is the chilling story of a small boy caught up in the games that adults play. Left in the care of the butler, Baines, and his wife, Philip realizes too late the danger of lies and deceit. But the truth is even deadlier. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
1096,0671019090,,,,,
1097,037570387X,The Autograph Man,Zadie Smith,2003-06-17,Fiction,"Alex-Li Tandem sells autographs. His business is to hunt for names on paper, collect them, sell them, and occasionally fake them—all to give the people what they want: a little piece of Fame. But what does Alex want? Only the return of his father, the end of religion, something for his headache, three different girls, infinite grace, and the rare autograph of forties movie actress Kitty Alexander. With fries. The Autograph Man is a deeply funny existential tour around the hollow trappings of modernity: celebrity, cinema, and the ugly triumph of symbol over experience. It offers further proof that Zadie Smith is one of the most staggeringly talented writers of her generation. Look for her new book Swing Time, coming November 2016."
1098,0375703861,White Teeth,Zadie Smith,2000,Fiction,"NATIONAL BESTSELLER • Set against London's racial and cultural tapestry, venturing across the former empire and into the past as it barrels toward the future, White Teeth revels in the ecstatic hodgepodge of modern life, flirting with disaster, confounding expectations, and embracing the comedy of daily existence. Zadie Smith’s dazzling debut caught critics grasping for comparisons and deciding on everyone from Charles Dickens to Salman Rushdie to John Irving and Martin Amis. But the truth is that Zadie Smith’s voice is remarkably, fluently, and altogether wonderfully her own. At the center of this invigorating novel are two unlikely friends, Archie Jones and Samad Iqbal. Hapless veterans of World War II, Archie and Samad and their families become agents of England’s irrevocable transformation. A second marriage to Clara Bowden, a beautiful, albeit tooth-challenged, Jamaican half his age, quite literally gives Archie a second lease on life, and produces Irie, a knowing child whose personality doesn’t quite match her name (Jamaican for “no problem”). Samad’s late-in-life arranged marriage (he had to wait for his bride to be born), produces twin sons whose separate paths confound Iqbal’s every effort to direct them, and a renewed, if selective, submission to his Islamic faith."
1099,0385722222,,,,,
1100,0060586540,,,,,
1101,1567922694,,,,,
1102,0940450097,"Herman Melville: Redburn, White-Jacket, Moby-Dick (LOA #9)",Herman Melville,1983-04-15,Fiction,"Well over a century after its publication, Moby-Dick still stands as an indisputable literary classic. It is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopedia of whaling lore and legend, Moby-Dick is a haunting, mesmerizing, and important social commentary populated with several of the most unforgettable and enduring characters in literature. Written with wonderfully redemptive humor, Moby-Dick is a profound and timeless inquiry into character, faith, and the nature of perception. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation’s literary heritage by publishing, and keeping permanently in print, America’s best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries."
1103,0940450240,,,,,
1104,0140431055,,,,,
1105,0940450003,Melville,Herman Melville,1982,Fiction,"This first volume of The Library of America's three-volume edition of the complete prose works of Herman Melville includes three romances of the South Seas. Typee and Omoo, based on the young Melville's experiences on a whaling ship, are exuberant accounts of the idyllic life among the ""cannibals"" in Polynesia. They remained his most popular works well into the 20th century. Mardi (""the world"" in Polynesian) is a mixture of love story, adventure, and political allegory, set on a mythical Pacific island, that looks forward to the complexities of Moby-Dick. Together, these three romances give early evidence of the genius and daring that make Melville the master novelist of the sea and a precursor of modernist literature. Two companion volumes--Herman Melville: Redburn, White-Jacket, Moby-Dick and Herman Melville: Pierre, Israel Potter, The Piazza Tales, The Confidence Man, Uncollected Prose, and Billy Budd complete this edition of Melville's prose. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation's literary heritage by publishing, and keeping permanently in print, America's best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries."
1106,0440416884,,,,,
1107,0385327870,,,,,
1108,0142002062,,,,,
1109,0449235947,,,,,
1110,0862731585,,,,,
1111,014200202X,,,,,
1112,0142002046,,,,,
1113,0142003255,,,,,
1114,0142003298,,,,,
1115,0142002151,,,,,
1116,0141184884,,,,,
1117,1904634001,Book of Haikus,Jack Kerouac,2004,Poetry,"Highlighting a lesser-known aspect of one of America's most influential authors, this new collection displays Kerouac's interest in and mastery of haiku."
1118,0141184892,,,,,
1119,1842552473,,,,,
1120,0679854347,Theater Shoes,Noel Streatfeild,1994-11-15,Juvenile Fiction,"A beautiful gift edition of the beloved classic about three orphan siblings and their love of music, theater, and dance. When orphans Sorrel, Mark, and Holly are sent to live with their grandmother, a famous English actress, she enrolls them in the Children's Academy of Dancing and Stage Training, the same Academy that made the orphans from Ballet Shoes famous so long ago. It's the chance of a lifetime, but the Academy won't give the children the ""proper"" education their parents would have wanted. However, the children learn to love the Academy when they find out that Sorrel has dramatic flair, Mark can sing, and Holly charms everyone with her adorable impish ways. Maybe talent does run in the family. This classic children's book is perfect for kids who dream of being on stage--dancing, singing, or acting. Don't miss the other classic Noel Streatfeild books, Ballet Shoes, Skating Shoes, and Dancing Shoes!"
1121,0440458153,,,,,
1122,0192752537,,,,,
1123,0440486874,,,,,
1124,1405088567,,,,,
1125,0330489992,,,,,
1126,0330442554,,,,,
1127,0688117228,China Court,Rumer Godden,1961,Fiction,"For more than half a century, Rumer Godden has been known as one of the finest and subtlest writers of our day (Saturday Review). Now one of her most endearing classics is being reissued for a new generation of readers. China Court is the story of the hours and days of a country house in Wales and five generations of the family who inhabited it."
1128,0330367471,,,,,
1129,1841156736,,,,,
1130,1589971280,Creative Correction,Lisa Whelchel,2005,Family & Relationships,"In addition to advice on topics such as sibling conflict and lying, Whelchel offers this handy reference guide that provides a biblical perspective and down to-earth encouragement to parents who are feeling overwhelmed."
1131,0446679224,Original Sin,P. D. James,1994,Fiction,"After a serious of malicious pranks, Gerard Etienne, the ruthless managing director of one of Britain's oldest book publishers, is murdered, leading to a police investigation that has dozens of the company's employees, and even more famous authors, topping the suspect list."
1132,083082605X,,,,,
1133,0505523248,,,,,
1134,1595820159,,,,,
1135,0345446666,,,,,
1136,0307275736,,,,,
1137,0571204104,,,,,
1138,0571204201,,,,,
1139,0571204155,,,,,
1140,1400096472,A Taste for Death,P. D. James,2005-11-08,Fiction,"NATIONAL BESTSELLER • In this ""treat for mystery lovers” (USA Today), the quiet Little Vestry of St. Matthew's Church becomes the blood-soaked scene of a double murder, and Scotland Yard Commander Adam Dalgliesh faces an intriguing conundrum. • Part of the bestselling mystery series that inspired Dalgliesh on Acorn TV How did an upper-crust Minister come to lie, slit throat to slit throat, next to a neighborhood derelict of the lowest order? Challenged with the investigation of a crime that appears to have endless motives, Dalgliesh explores the sinister web spun around a half-burnt diary and a violet-eyed widow who is pregnant and full of malice—all the while hoping to fill the gap of logic that joined these two disparate men in bright red death...."
1141,0345442121,,,,,
1142,0743219570,,,,,
1143,0743219619,,,,,
1144,0743219635,Innocent Blood,P.D. James,2001-08-02,Fiction,Publisher reused ISBN from 2001 edition.
1145,0060934344,,,,,
1146,0142437239,,,,,
1147,0451528905,,,,,
1148,037575699X,,,,,
1149,0156495406,,,,,
1150,0822004151,,,,,
1151,0727861158,,,,,
1152,0821773682,,,,,
1153,0226443221,,,,,
1154,0345449606,,,,,
1155,1843607409,,,,,
1156,1582430152,,,,,
1157,0767915747,,,,,
1158,0963810944,,,,,
1159,0393328627,,,,,
1160,0553380168,A Brief History of Time,Stephen Hawking,1998-09-01,Science,"#1 NEW YORK TIMES BESTSELLER A landmark volume in science writing by one of the great minds of our time, Stephen Hawking’s book explores such profound questions as: How did the universe begin—and what made its start possible? Does time always flow forward? Is the universe unending—or are there boundaries? Are there other dimensions in space? What will happen when it all ends? Told in language we all can understand, A Brief History of Time plunges into the exotic realms of black holes and quarks, of antimatter and “arrows of time,” of the big bang and a bigger God—where the possibilities are wondrous and unexpected. With exciting images and profound imagination, Stephen Hawking brings us closer to the ultimate secrets at the very heart of creation."
1161,0767923227,A Short History of Nearly Everything,Bill Bryson,2005,Astronomy,In this book Bill Bryson attempts to understand everything that has transpired from the Big Bang to the rise of civilization.
1162,0895260476,,,,,
1163,0802715524,,,,,
1164,0517223120,,,,,
1165,0743564413,,,,,
1166,0764596861,,,,,
1167,0609602195,,,,,
1168,0792272668,,,,,
1169,0374271070,,,,,
1170,070112766X,,,,,
1171,8420466557,,,,,
1172,0670037567,,,,,
1173,8466617353,,,,,
1174,0747236046,,,,,
1175,0785118950,,,,,
1176,3453215281,,,,,
1177,2266111574,,,,,
1178,2221089561,,,,,
1179,0380817934,,,,,
1180,0380817926,,,,,
1181,0316017442,,,,,
1182,0060506040,,,,,
1183,0312989482,,,,,
1184,0553572946,,,,,
1185,0380817160,,,,,
1186,0312282990,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2001-08-25,Fiction,"This brilliant epic novel set in New York and Prague introduces us to two misfit young men who make it big by creating comic-book superheroes. Joe Kavalier, a young artist who has also been trained in the art of Houdiniesque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America the comic book. Inspired by their own fears and dreams, Kavalier and Clay create the Escapists, The Monitor, and Luna Moth, inspired by the beautiful Rosa Saks, who will become linked by powerful ties to both men. The Amazing Adventures of Kavalier & Clay is the winner of the 2001 Pulitzer Prize for Fiction."
1187,159307171X,,,,,
1188,0849942985,,,,,
1189,0722533942,The Valkyries,Paulo Coelho,1996,Fiction,The author was instructed by his mysterious spiritual master to find and speak to his guardian angel to overcome his dark past. This book gives an account of his quest into the Mojave desert where he encountered angelic beings who challenged him to follow his dreams.
1190,0060527994,,,,,
1191,0316767727,,,,,
1192,0753459647,,,,,
1193,033048477X,,,,,
1194,0375727272,,,,,
1195,0446677124,,,,,
1196,1416908161,,,,,
1197,0664228917,,,,,
1198,0060925752,,,,,
1199,0922729484,Soul Mates and Twin Flames,Elizabeth Clare Prophet,1999,Love,"This book offers a new look at love, karma, and relationships. It is an extremely powerful guide for revealing the inner mysteries of the soul. Also available as audio cassette."
1200,0452282179,,,,,
1201,080701429X,,,,,
1202,0807014265,,,,,
1203,0393058638,,,,,
1204,0471979988,,,,,
1205,020161622X,,,,,
1206,0976694026,,,,,
1207,0713997273,,,,,
1208,0859653234,,,,,
1209,0753456109,,,,,
1210,0689837143,,,,,
1211,1569246815,,,,,
1212,0060566108,Built to Last,Jim Collins,2004-11-02,Business & Economics,"""This is not a book about charismatic visionary leaders. It is not about visionary product concepts or visionary products or visionary market insights. Nor is it about just having a corporate vision. This is a book about something far more important, enduring, and substantial. This is a book about visionary companies."" So write Jim Collins and Jerry Porras in this groundbreaking book that shatters myths, provides new insights, and gives practical guidance to those who would like to build landmark companies that stand the test of time. Drawing upon a six-year research project at the Stanford University Graduate School of Business, Collins and Porras took eighteen truly exceptional and long-lasting companies -- they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926 -- and studied each company in direct comparison to one of its top competitors. They examined the companies from their very beginnings to the present day -- as start-ups, as midsize companies, and as large corporations. Throughout, the authors asked: ""What makes the truly exceptional companies different from other companies?"" What separates General Electric, 3M, Merck, Wal-Mart, Hewlett-Packard, Walt Disney, and Philip Morris from their rivals? How, for example, did Procter & Gamble, which began life substantially behind rival Colgate, eventually prevail as the premier institution in its industry? How was Motorola able to move from a humble battery repair business into integrated circuits and cellular communications, while Zenith never became dominant in anything other than TVs? How did Boeing unseat McDonnell Douglas as the world's best commercial aircraft company -- what did Boeing have that McDonnell Douglas lacked? By answering such questions, Collins and Porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished out-standing companies. They also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies. Filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels, Built to Last provides a master blueprint for building organizations that will prosper long into the twenty-first century and beyond."
1213,0446578843,I Like You,Amy Sedaris,2006,Cooking,"Offers a guide to the art of entertaining, furnishing recipes, helpful advice, and offbeat tips on how to host parties with extraordinary flair, covering such topics as unique dishes to serve alcoholics and arts and crafts ideas."
1214,0743276124,,,,,
1215,0099468239,Bringing Down the House,Ben Mezrich,2004,True Crime,"After five weeks on the ""New York Times"" bestseller list in hardcover, Mezrich's inside story of the young card-counting masterminds who took on Vegas is poised to reach an even wider audience in its new paperback edition."
1216,0757305458,,,,,
1217,0830833293,,,,,
1218,0312291566,,,,,
1219,037572740X,,,,,
1220,0140276335,,,,,
1221,1417626283,,,,,
1222,0140297782,,,,,
1223,3518222635,,,,,
1224,0875168167,,,,,
1225,0739326740,,,,,
1226,0743275063,,,,,
1227,1595540016,,,,,
1228,1579510027,,,,,
1229,1400079179,,,,,
1230,0739339788,,,,,
1231,8495618605,,,,,
1232,0195307135,,,,,
